"No.","Time","Source","Destination","Protocol","Length","Info"
"2109","17.021285","192.168.1.13","142.250.182.99","TLSv1.3","93","Application Data"
"2110","17.021340","192.168.1.13","142.250.182.99","TLSv1.3","89","Application Data"
"2111","17.043015","142.250.182.99","192.168.1.13","QUIC","1292","Handshake, SCID=eef6f7f2ebda935e"
"2112","17.043235","192.168.1.13","142.250.182.99","QUIC","206","Protected Payload (KP0), DCID=eef6f7f2ebda935e"
"2113","17.043314","142.250.182.99","192.168.1.13","QUIC","990","Protected Payload (KP0)"
"2114","17.043364","142.250.182.99","192.168.1.13","QUIC","179","Protected Payload (KP0)"
"2115","17.043364","142.250.182.99","192.168.1.13","TCP","60","443  >  63198 [ACK] Seq=7563 Ack=2955 Win=77056 Len=0"
"2116","17.043439","192.168.1.13","142.250.182.99","QUIC","75","Protected Payload (KP0), DCID=eef6f7f2ebda935e"
"2117","17.043487","192.168.1.13","142.250.182.99","QUIC","75","Protected Payload (KP0), DCID=eef6f7f2ebda935e"
"2118","17.076818","142.250.182.99","192.168.1.13","QUIC","67","Protected Payload (KP0)"
"2119","17.256621","54.90.227.129","192.168.1.13","TLSv1.2","85","Encrypted Alert"
"2120","17.256621","54.90.227.129","192.168.1.13","TCP","54","443  >  63184 [FIN, ACK] Seq=7237 Ack=6470 Win=89600 Len=0"
"2121","17.256669","192.168.1.13","54.90.227.129","TCP","54","63184  >  443 [ACK] Seq=6470 Ack=7238 Win=66560 Len=0"
"2122","17.486783","192.168.1.13","170.72.239.115","TLSv1.2","174","Application Data"
"2123","17.782815","170.72.239.115","192.168.1.13","TCP","60","443  >  62885 [ACK] Seq=45 Ack=169 Win=234 Len=0"
"2124","17.782815","170.72.239.115","192.168.1.13","TLSv1.2","257","Application Data"
